,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-12-20-22-seattle,21.1,4,2.9,1,136.0,63.0,17,0.373,55,0.345,19,0.673,37,0.622,23,10,200,85.3,19.4,7,17,64,,1.3,1,0.273,15,0.2,3,38.1,24,0.441,12.3,10,40,0.4,16,0.091,1,"December 20, 2018",52.8,19,7.5,3,85.3,80.6,29,0.685,62,0.581,36,0.306,19,0.895,17,3,200,136.0,37.0,10,25,102,,5.3,4,0.435,27,0.481,13,61.9,39,0.718,15.6,13,35,0.657,23,0.786,11,"Connolly Center, Seattle, Washington",PRAIRIE-VIEW,Prairie View,74.8,Home,SEATTLE,Seattle,Prairie View,swac
2018-12-29-12-winthrop,25.9,7,4.3,1,105.6,50.0,8,0.414,70,0.386,27,0.129,9,0.444,4,11,200,86.1,37.2,16,20,62,,25.0,18,0.271,19,0.211,4,40.7,24,0.417,16.9,15,51,0.451,23,0.083,1,"December 29, 2018",41.7,10,5.9,3,86.1,62.8,27,0.679,42,0.571,24,0.548,23,0.826,19,4,200,105.6,50.0,8,17,76,,5.6,4,0.452,19,0.474,9,59.3,35,0.718,33.3,26,23,0.652,15,0.667,8,"Winthrop Coliseum, Rock Hill, South Carolina",PRAIRIE-VIEW,Prairie View,72.1,Home,WINTHROP,Winthrop,Prairie View,swac
2019-01-02-16-prairie-view,47.6,10,5.4,2,111.0,60.0,18,0.61,41,0.512,21,0.537,22,0.682,15,0,200,89.0,31.8,7,20,65,,5.5,4,0.39,16,0.5,8,48.1,25,0.632,34.8,27,25,0.52,13,0.0,0,"January 2, 2019",66.7,22,4.0,1,89.0,68.2,15,0.571,63,0.524,33,0.222,14,0.643,9,11,200,111.0,40.0,12,24,81,,12.3,9,0.413,26,0.231,6,51.9,27,0.581,19.7,17,37,0.73,27,0.154,2,"William J. Nicks Building, Prairie View, Texas","Huston-Tillotson
			","Huston-Tillotson
			",73.1,Home,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-01-05-18-southern,51.6,16,3.0,1,100.0,60.0,21,0.595,58,0.534,31,0.362,21,0.619,13,11,200,112.3,21.4,6,23,82,,13.7,10,0.259,15,0.467,7,42.9,27,0.603,12.9,10,43,0.558,24,0.214,3,"January 5, 2019",40.7,11,7.0,3,112.3,78.6,22,0.518,56,0.482,27,0.5,28,0.536,15,13,200,100.0,40.0,14,24,73,,4.1,3,0.411,23,0.174,4,57.1,36,0.527,21.8,19,33,0.697,23,0.071,1,"F. G. Clark Activity Center, Baton Rouge, Louisiana",SOUTHERN,Southern,73.1,Away,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-01-07-20-alcorn-state,60.0,12,10.5,4,78.3,61.1,22,0.423,52,0.385,20,0.462,24,0.542,13,11,200,82.6,29.7,11,19,57,,15.9,11,0.25,13,0.308,4,45.2,33,0.45,22.3,18,39,0.41,16,0.267,4,"January 7, 2019",57.9,11,15.4,6,82.6,70.3,26,0.398,54,0.352,19,0.333,18,0.611,11,10,200,78.3,38.9,14,21,54,,11.6,8,0.296,16,0.313,5,54.8,40,0.432,24.4,20,38,0.368,14,0.286,4,"Davey L. Whitney Complex, Alcorn State, Mississippi",ALCORN-STATE,Alcorn State,69.5,Away,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-01-12-18-prairie-view,50.0,11,7.0,3,97.5,72.7,32,0.445,55,0.4,22,0.764,42,0.571,24,9,200,90.1,22.5,9,28,73,,3.7,3,0.364,20,0.25,5,48.8,41,0.487,19.7,18,35,0.486,17,0.438,7,"January 12, 2019",77.8,21,5.7,2,90.1,77.5,31,0.475,61,0.443,27,0.59,36,0.583,21,11,200,97.5,27.3,12,26,79,,8.6,7,0.295,18,0.222,4,51.2,43,0.506,12.5,11,43,0.535,23,0.312,5,"William J. Nicks Building, Prairie View, Texas",TEXAS-SOUTHERN,Texas Southern,80.5,Home,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-01-19-18-prairie-view,42.1,8,15.2,5,85.9,76.5,26,0.389,54,0.352,19,0.222,12,0.75,9,12,200,79.7,27.0,10,20,51,,4.7,3,0.259,14,0.286,4,50.7,36,0.427,19.1,14,40,0.375,15,0.333,6,"January 19, 2019",52.6,10,5.0,2,79.7,73.0,27,0.404,52,0.365,19,0.423,22,0.591,13,11,200,85.9,23.5,8,18,55,,12.5,8,0.365,19,0.211,4,49.3,35,0.44,12.7,9,33,0.455,15,0.353,6,"William J. Nicks Building, Prairie View, Texas",JACKSON-STATE,Jackson State,63.6,Home,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-01-21-19-prairie-view,54.5,12,12.8,5,109.2,69.7,23,0.603,39,0.564,22,0.769,30,0.633,19,10,200,86.8,15.0,3,28,66,,6.6,5,0.333,13,0.231,3,49.1,26,0.62,33.2,26,26,0.731,19,0.474,9,"January 21, 2019",61.5,16,7.7,2,86.8,85.0,17,0.5,58,0.448,26,0.672,39,0.641,25,11,200,109.2,30.3,10,24,83,,13.2,10,0.328,19,0.316,6,50.9,27,0.542,11.7,10,39,0.513,20,0.389,7,"William J. Nicks Building, Prairie View, Texas",GRAMBLING,Grambling,76.4,Home,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-01-26-17-mississippi-valley-state,44.4,12,4.7,2,100.0,66.7,24,0.525,60,0.45,27,0.65,39,0.667,26,11,200,114.1,24.3,9,25,89,,7.7,6,0.483,29,0.31,9,45.2,33,0.567,11.5,10,31,0.581,18,0.421,8,"January 26, 2019",50.0,13,0.0,0,114.1,75.7,28,0.475,59,0.441,26,0.525,31,0.71,22,17,200,100.0,33.3,12,25,78,,6.4,5,0.271,16,0.25,4,54.8,40,0.529,17.1,15,43,0.512,22,0.15,3,"Harrison HPER Complex, Itta Bena, Mississippi",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,78.1,Away,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-01-28-20-arkansas-pine-bluff,44.0,11,3.4,1,77.8,72.4,21,0.52,50,0.5,25,0.82,41,0.659,27,11,200,97.5,23.3,7,24,79,,18.5,15,0.18,9,0.222,2,47.5,28,0.569,20.9,18,41,0.561,23,0.45,9,"January 28, 2019",70.6,12,12.2,5,97.5,76.7,23,0.404,47,0.362,17,0.787,37,0.676,25,13,200,77.8,27.6,8,29,63,,13.6,11,0.383,18,0.222,4,52.5,31,0.488,27.5,24,29,0.448,13,0.35,7,"H.O. Clemmons Arena, Pine Bluff, Arkansas",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,80.5,Away,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-02-02-18-prairie-view,66.7,16,0.0,0,130.6,57.7,15,0.558,52,0.462,24,0.192,10,0.7,7,18,200,104.8,40.0,12,20,65,,8.1,5,0.423,22,0.455,10,48.2,27,0.573,21.0,15,30,0.467,14,0.182,4,"February 2, 2019",73.3,22,0.0,0,104.8,60.0,18,0.611,54,0.556,30,0.426,23,0.652,15,11,200,130.6,42.3,11,13,81,,12.9,8,0.204,11,0.545,6,51.8,29,0.624,14.6,11,43,0.558,24,0.476,10,"William J. Nicks Building, Prairie View, Texas",ALABAMA-AM,Alabama A&M,62.3,Home,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-02-04-20-prairie-view,31.8,7,6.3,2,100.0,63.6,21,0.393,61,0.361,22,0.426,26,0.731,19,12,200,97.1,48.7,19,20,67,,2.9,2,0.361,22,0.182,4,55.6,40,0.457,18.1,16,39,0.462,18,0.4,8,"February 4, 2019",66.7,16,2.6,1,97.1,51.3,20,0.482,57,0.421,24,0.368,21,0.667,14,11,200,100.0,36.4,12,22,69,,8.7,6,0.439,25,0.28,7,44.4,32,0.515,16.4,13,32,0.531,17,0.5,11,"William J. Nicks Building, Prairie View, Texas",ALABAMA-STATE,Alabama State,69.2,Home,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-02-09-20-texas-southern,47.1,16,0.0,0,117.3,54.3,19,0.59,67,0.507,34,0.209,14,0.786,11,12,200,111.1,39.4,13,27,90,,6.2,5,0.373,25,0.44,11,47.1,32,0.611,21.5,20,42,0.548,23,0.478,11,"February 9, 2019",35.7,10,11.9,5,111.1,60.6,20,0.516,62,0.452,28,0.629,39,0.795,31,11,200,117.3,45.7,16,20,95,,14.8,12,0.355,22,0.364,8,52.9,36,0.59,17.7,17,40,0.5,20,0.522,12,"Health & Physical Education Arena, Houston, Texas",PRAIRIE-VIEW,Prairie View,81.1,Home,TEXAS-SOUTHERN,Texas Southern,Prairie View,swac
2019-02-16-18-jackson-state,51.9,14,5.4,2,91.7,73.9,17,0.516,63,0.429,27,0.381,24,0.583,14,12,200,109.7,29.3,12,22,79,,15.3,11,0.349,22,0.5,11,45.3,29,0.531,13.0,11,41,0.39,16,0.5,12,"February 16, 2019",59.1,13,19.5,8,109.7,70.7,29,0.511,46,0.478,22,0.63,29,0.655,19,16,200,91.7,26.1,6,22,66,,11.1,8,0.196,9,0.333,3,54.7,35,0.552,21.4,16,37,0.514,19,0.36,9,"Lee E. Williams Athletics and Assembly Center, Jackson, Mississippi",JACKSON-STATE,Jackson State,71.6,Away,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-02-18-20-grambling,60.7,17,10.3,3,97.8,68.8,22,0.433,75,0.373,28,0.453,34,0.794,27,12,200,103.4,25.0,11,30,92,,11.2,10,0.453,34,0.265,9,43.4,33,0.505,10.0,10,41,0.463,19,0.52,13,"February 18, 2019",48.0,12,14.6,6,103.4,75.0,33,0.557,53,0.472,25,0.811,43,0.651,28,13,200,97.8,31.3,10,30,87,,4.5,4,0.453,24,0.375,9,56.6,43,0.592,25.0,24,29,0.552,16,0.5,13,"Assembly Center, Grambling, Louisiana",GRAMBLING,Grambling,88.8,Away,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-02-23-18-prairie-view,54.2,13,8.8,3,103.0,67.5,27,0.467,60,0.4,24,0.2,12,0.583,7,23,199,94.0,23.5,8,25,63,,1.5,1,0.383,23,0.348,8,47.3,35,0.479,14.4,11,37,0.432,16,0.179,5,"February 23, 2019",68.2,15,5.4,2,94.0,76.5,26,0.464,55,0.4,22,0.527,29,0.621,18,12,199,103.0,32.5,13,18,69,,11.9,8,0.382,21,0.333,7,52.7,39,0.502,12.9,10,34,0.441,15,0.538,14,"William J. Nicks Building, Prairie View, Texas",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,67.6,Home,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-02-25-20-prairie-view,55.6,10,15.2,5,72.7,83.8,31,0.37,50,0.36,18,0.26,13,0.538,7,17,200,66.7,40.6,13,17,44,,6.1,4,0.28,14,0.071,1,63.8,44,0.392,28.3,22,36,0.472,17,0.393,11,"February 25, 2019",60.0,9,11.1,4,66.7,59.4,19,0.324,51,0.294,15,0.51,26,0.577,15,12,200,72.7,16.2,6,15,48,,16.7,11,0.353,18,0.167,3,36.2,25,0.379,12.6,9,33,0.364,12,0.556,15,"William J. Nicks Building, Prairie View, Texas",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,65.8,Home,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-03-02-19-alabama-am,56.0,14,2.5,1,94.2,60.9,14,0.528,53,0.472,25,0.396,21,0.762,16,12,200,104.3,26.9,7,15,72,,11.6,8,0.415,22,0.273,6,42.9,21,0.572,16.2,12,31,0.613,19,0.571,16,"March 2, 2019",53.8,14,6.5,2,104.3,73.1,19,0.519,53,0.491,26,0.283,15,0.667,10,24,200,94.2,39.1,9,22,65,,7.2,5,0.245,13,0.231,3,57.1,28,0.541,23.2,18,40,0.575,23,0.172,5,"Elmore Health Science Building , Normal, Alabama",ALABAMA-AM,Alabama A&M,68.6,Away,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-03-04-21-alabama-state,42.4,14,4.2,1,95.8,70.4,19,0.682,55,0.6,33,0.527,29,0.724,21,12,200,133.3,25.0,6,28,96,,6.9,5,0.418,23,0.391,9,49.0,25,0.698,10.6,8,32,0.75,24,0.586,17,"March 4, 2019",52.6,10,12.5,4,133.3,75.0,18,0.459,49,0.388,19,0.673,33,0.727,24,16,200,95.8,29.6,8,26,69,,2.8,2,0.51,25,0.28,7,51.0,26,0.533,21.1,17,24,0.5,12,0.407,11,,ALABAMA-STATE,Alabama State,72.2,Away,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-03-07-20-prairie-view,36.4,8,3.2,1,114.1,64.5,20,0.522,45,0.489,22,0.267,12,0.667,8,24,202,85.9,26.9,7,26,55,,3.1,2,0.333,15,0.2,3,47.4,27,0.542,28.5,20,30,0.633,19,0.2,6,"March 7, 2019",52.2,12,6.7,2,85.9,73.1,19,0.5,53,0.434,23,0.566,30,0.667,20,12,202,114.1,35.5,11,17,73,,14.1,9,0.415,22,0.318,7,52.6,30,0.543,12.0,9,31,0.516,16,0.6,18,"William J. Nicks Building, Prairie View, Texas",SOUTHERN,Southern,63.8,Home,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-03-09-18-prairie-view,45.0,9,8.3,3,132.4,75.0,18,0.458,48,0.417,20,0.563,27,0.741,20,20,200,86.5,23.3,7,20,64,,5.4,4,0.292,14,0.286,4,46.3,25,0.526,24.1,19,34,0.471,16,0.333,10,"March 9, 2019",47.1,16,8.8,3,86.5,76.7,23,0.631,61,0.557,34,0.41,25,0.84,21,12,200,132.4,25.0,6,20,98,,18.9,14,0.41,25,0.36,9,53.7,29,0.672,11.1,9,36,0.694,25,0.613,19,"William J. Nicks Building, Prairie View, Texas",ALCORN-STATE,Alcorn State,74.4,Home,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-03-12-20-prairie-view,45.8,11,12.8,5,119.4,63.6,21,0.491,55,0.436,24,0.309,17,0.706,12,21,200,91.7,36.7,11,21,66,,4.2,3,0.255,14,0.429,6,50.8,32,0.523,21.4,17,41,0.439,18,0.323,10,"March 12, 2019",64.3,18,4.9,2,91.7,63.3,19,0.492,62,0.452,28,0.516,32,0.781,25,12,200,119.4,36.4,12,17,86,,19.4,14,0.371,23,0.217,5,49.2,31,0.557,10.6,9,39,0.59,23,0.625,20,"William J. Nicks Building, Prairie View, Texas",ALCORN-STATE,Alcorn State,71.6,Home,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-03-15-15-prairie-view,56.5,13,12.5,4,103.8,75.8,25,0.442,60,0.383,23,0.367,22,0.818,18,16,200,91.0,20.0,7,32,71,,6.4,5,0.317,19,0.368,7,47.1,32,0.504,19.6,17,41,0.39,16,0.515,17,"March 15, 2019",31.6,6,0.0,0,91.0,80.0,28,0.449,49,0.388,19,0.939,46,0.804,37,12,200,103.8,24.2,8,22,81,,7.7,6,0.347,17,0.353,6,52.9,36,0.572,14.8,12,32,0.406,13,0.636,21,"Bill Harris Arena, Birmingham, Alabama",GRAMBLING,Grambling,77.7,Home,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-03-16-18-prairie-view,35.5,11,0.0,0,113.6,69.0,20,0.576,59,0.525,31,0.508,30,0.6,18,13,200,106.2,53.8,14,25,86,,8.6,7,0.305,18,0.333,6,61.8,34,0.587,24.9,24,41,0.61,25,0.618,21,"March 16, 2019",31.3,10,2.4,1,106.2,46.2,12,0.61,59,0.542,32,0.542,32,0.625,20,12,200,113.6,31.0,9,26,92,,17.3,14,0.322,19,0.421,8,38.2,21,0.62,15.1,13,40,0.6,24,0.647,22,"Bill Harris Arena, Birmingham, Alabama",TEXAS-SOUTHERN,Texas Southern,80.7,Home,PRAIRIE-VIEW,Prairie View,Prairie View,swac
2019-03-19-18-prairie-view,40.0,12,22.2,8,110.1,77.1,27,0.627,55,0.545,30,0.345,19,0.684,13,13,200,118.8,44.4,12,10,82,16,1.4,1,0.382,21,0.429,9,62.9,39,0.64,20.2,16,34,0.618,21,0.618,21,"March 19, 2019",60.7,17,2.9,1,118.8,55.6,15,0.555,64,0.438,28,0.109,7,0.714,5,13,200,110.1,22.9,8,19,76,16,13.0,9,0.438,28,0.536,15,37.1,23,0.564,14.1,11,36,0.361,13,0.629,22,"University of Dayton Arena, Dayton, Ohio",PRAIRIE-VIEW,Prairie View,69.2,Away,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Prairie View,swac
