,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-12-21-13-temple,41.7,10,2.9,1,106.8,75.0,24,0.384,73,0.329,24,0.178,13,0.769,10,3,200,90.4,38.3,18,16,66,,11.0,8,0.329,24,0.333,8,53.2,42,0.417,13.2,12,49,0.327,16,0.7,7,"December 21, 2019",66.7,20,6.1,3,90.4,61.7,29,0.612,58,0.517,30,0.259,15,0.467,7,3,200,106.8,25.0,8,14,78,,6.8,5,0.414,24,0.458,11,46.8,37,0.599,18.8,15,34,0.559,19,0.727,8,"Liacouras Center, Philadelphia, Pennsylvania",RIDER,Rider,72.7,Home,TEMPLE,Temple,Temple,aac
2019-12-31-14-central-florida,80.0,16,12.1,4,82.9,75.8,25,0.443,53,0.377,20,0.434,23,0.652,15,3,200,88.6,29.0,9,15,62,,17.1,12,0.396,21,0.333,7,53.1,34,0.485,20.2,16,32,0.406,13,0.75,9,"December 31, 2019",66.7,16,12.5,4,88.6,71.0,22,0.474,57,0.421,24,0.175,10,0.4,4,4,200,82.9,24.2,8,17,58,,11.4,8,0.421,24,0.25,6,46.9,30,0.47,19.6,15,33,0.545,18,0.692,9,"CFE Arena, Orlando, Florida",CENTRAL-FLORIDA,UCF,69.8,Away,TEMPLE,Temple,Temple,aac
2020-01-03-21-tulsa,50.0,9,3.1,1,97.2,92.6,25,0.315,65,0.277,18,0.077,5,0.6,3,4,200,61.1,22.5,9,15,44,,8.3,6,0.385,25,0.2,5,50.7,34,0.327,20.2,17,40,0.325,13,0.692,9,"January 3, 2020",59.3,16,12.5,5,61.1,77.5,31,0.585,53,0.509,27,0.245,13,0.615,8,5,200,97.2,7.4,2,8,70,,18.1,13,0.396,21,0.381,8,49.3,33,0.591,17.0,12,32,0.594,19,0.643,9,"Donald W. Reynolds Center, Tulsa, Oklahoma",TEMPLE,Temple,72.3,Home,TULSA,Tulsa,Temple,aac
2020-01-07-19-temple,64.5,20,16.7,8,102.8,87.1,27,0.472,72,0.431,31,0.264,19,0.526,10,3,200,108.3,43.2,16,19,78,,2.8,2,0.319,23,0.261,6,63.2,43,0.481,6.9,6,49,0.51,25,0.8,12,"January 7, 2020",61.5,16,4.1,2,108.3,56.8,21,0.475,61,0.426,26,0.344,21,0.762,16,5,200,102.8,12.9,4,23,74,,6.9,5,0.213,13,0.462,6,36.8,25,0.521,7.9,6,48,0.417,20,0.643,9,"Liacouras Center, Philadelphia, Pennsylvania",TEMPLE,Temple,72.0,Away,HOUSTON,Houston,Temple,aac
2020-01-11-12-temple,62.5,15,13.3,4,71.8,77.8,28,0.528,54,0.444,24,0.222,12,0.667,8,6,200,91.5,12.9,4,14,65,,15.5,11,0.463,25,0.36,9,47.8,32,0.544,19.1,14,29,0.517,15,0.625,10,"January 11, 2020",70.6,12,6.9,2,91.5,87.1,27,0.361,54,0.315,17,0.333,18,0.667,12,6,200,71.8,22.2,8,16,51,,5.6,4,0.444,24,0.208,5,52.2,35,0.408,21.5,17,30,0.4,12,0.6,9,"Liacouras Center, Philadelphia, Pennsylvania",TEMPLE,Temple,70.6,Away,TULANE,Tulane,Temple,aac
2020-01-15-21-temple,42.1,8,8.8,3,86.7,86.4,19,0.325,63,0.302,19,0.254,16,0.75,12,2,200,70.7,26.3,10,20,53,16,13.3,10,0.333,21,0.143,3,48.3,29,0.375,15.7,13,42,0.381,16,0.882,15,"January 15, 2020",42.9,9,11.9,5,70.7,73.7,28,0.489,46,0.457,21,0.587,27,0.741,20,6,200,86.7,13.6,3,17,65,,10.7,8,0.261,12,0.25,3,51.7,31,0.552,25.7,20,34,0.529,18,0.625,10,"Liacouras Center, Philadelphia, Pennsylvania",WICHITA-STATE,Wichita State,74.7,Home,TEMPLE,Temple,Temple,aac
2020-01-18-20-southern-methodist,72.2,13,2.4,1,95.8,64.9,24,0.382,55,0.327,18,0.236,13,0.769,10,7,200,73.2,16.2,6,20,52,,15.5,11,0.327,18,0.333,6,40.5,30,0.425,20.9,16,37,0.324,12,0.588,10,"January 18, 2020",63.0,17,16.2,6,73.2,83.8,31,0.468,63,0.429,27,0.206,13,0.692,9,4,200,95.8,35.1,13,14,68,,12.7,9,0.349,22,0.227,5,59.5,44,0.492,16.9,14,41,0.537,22,0.765,13,"Moody Coliseum, Dallas, Texas",TEMPLE,Temple,70.7,Home,SOUTHERN-METHODIST,SMU,Temple,aac
2020-01-22-19-temple,73.1,19,11.4,5,115.5,72.4,21,0.61,50,0.52,26,0.68,34,0.824,28,7,200,125.4,30.0,6,17,89,,11.3,8,0.46,23,0.391,9,55.1,27,0.673,15.6,12,27,0.63,17,0.632,12,"January 22, 2020",35.5,11,11.1,3,125.4,70.0,14,0.612,58,0.534,31,0.31,18,0.611,11,8,200,115.5,27.6,8,24,82,,11.3,8,0.241,14,0.643,9,44.9,22,0.616,14.3,11,44,0.5,22,0.556,10,"Liacouras Center, Philadelphia, Pennsylvania",TEMPLE,Temple,70.9,Away,CINCINNATI,Cincinnati,Temple,aac
2020-01-25-14-pennsylvania,21.7,5,12.5,4,90.4,75.0,24,0.313,75,0.307,23,0.253,19,0.632,12,9,200,80.8,26.5,13,19,59,,13.7,10,0.173,13,0.077,1,45.7,37,0.351,5.7,5,62,0.355,22,0.526,10,"January 25, 2020",47.8,11,9.7,6,80.8,73.5,36,0.51,52,0.442,23,0.423,22,0.591,13,7,200,90.4,25.0,8,17,66,,4.1,3,0.385,20,0.35,7,54.3,44,0.528,19.6,15,32,0.5,16,0.533,8,"The Palestra, Philadelphia, Pennsylvania",TEMPLE,Temple,72.7,Home,PENNSYLVANIA,Penn,Temple,aac
2020-01-29-19-connecticut,56.5,13,2.7,1,108.3,62.2,23,0.431,58,0.397,23,0.293,17,0.765,13,10,200,87.5,29.0,9,24,63,,9.7,7,0.207,12,0.333,4,47.1,32,0.477,19.6,16,46,0.413,19,0.5,10,"January 29, 2020",59.1,13,15.2,7,87.5,71.0,22,0.403,62,0.355,22,0.484,30,0.933,28,9,200,108.3,37.8,14,17,78,,12.5,9,0.403,25,0.24,6,52.9,36,0.511,10.7,9,37,0.432,16,0.55,11,"Harry A. Gampel Pavilion, Storrs, Connecticut",TEMPLE,Temple,72.2,Home,CONNECTICUT,UConn,Temple,aac
2020-02-01-18-temple,40.9,9,4.5,1,108.6,88.0,22,0.429,56,0.393,22,0.339,19,0.842,16,13,200,91.4,19.4,6,22,64,,5.7,4,0.304,17,0.235,4,50.0,28,0.492,13.4,10,39,0.462,18,0.409,9,"February 1, 2020",69.6,16,5.1,2,91.4,80.6,25,0.596,47,0.489,23,0.574,27,0.741,20,10,200,108.6,12.0,3,19,76,,5.7,4,0.532,25,0.4,10,50.0,28,0.635,19.2,14,22,0.591,13,0.524,11,"Liacouras Center, Philadelphia, Pennsylvania",EAST-CAROLINA,East Carolina,69.9,Home,TEMPLE,Temple,Temple,aac
2020-02-05-20-memphis,59.1,13,8.3,2,105.3,76.9,20,0.397,63,0.349,22,0.349,22,0.682,15,11,200,86.7,23.1,9,21,65,,16.0,12,0.333,21,0.286,6,44.6,29,0.442,14.2,12,42,0.381,16,0.5,11,"February 5, 2020",65.2,15,14.3,6,86.7,76.9,30,0.57,50,0.46,23,0.56,28,0.786,22,5,200,105.3,23.1,6,16,79,,9.3,7,0.52,26,0.423,11,55.4,36,0.624,20.4,16,24,0.5,12,0.773,17,"FedExForum, Memphis, Tennessee",TEMPLE,Temple,74.9,Home,MEMPHIS,Memphis,Temple,aac
2020-02-08-12-temple,70.0,21,7.7,3,122.8,80.8,21,0.545,67,0.448,30,0.328,22,0.773,17,6,225,113.9,37.1,13,24,90,,8.9,7,0.448,30,0.433,13,55.7,34,0.581,15.4,14,37,0.459,17,0.727,16,"February 8, 2020",68.6,24,13.5,5,113.9,62.9,22,0.669,59,0.593,35,0.492,29,0.621,18,11,225,122.8,19.2,5,20,97,,12.7,10,0.339,20,0.45,9,44.3,27,0.666,13.3,11,39,0.667,26,0.522,12,"Liacouras Center, Philadelphia, Pennsylvania",SOUTHERN-METHODIST,SMU,69.9,Home,TEMPLE,Temple,Temple,aac
2020-02-12-20-tulane,62.5,15,8.7,4,93.2,84.6,33,0.457,58,0.414,24,0.448,26,0.731,19,11,200,98.6,14.7,5,18,72,,6.8,5,0.328,19,0.263,5,52.1,38,0.512,9.2,7,39,0.487,19,0.542,13,"February 12, 2020",40.0,10,10.3,4,98.6,85.3,29,0.438,64,0.391,25,0.266,17,0.706,12,14,200,93.2,15.4,6,19,68,,6.8,5,0.281,18,0.333,6,47.9,35,0.472,8.9,7,46,0.413,19,0.417,10,"Devlin Fieldhouse, New Orleans, Louisiana",TULANE,Tulane,72.7,Away,TEMPLE,Temple,Temple,aac
2020-02-16-13-temple,59.3,16,2.3,1,82.4,82.4,28,0.602,59,0.458,27,0.102,6,0.833,5,6,200,111.8,25.9,7,12,76,15,4.4,3,0.61,36,0.472,17,57.4,35,0.614,16.3,12,23,0.435,10,0.76,19,"February 16, 2020",40.9,9,13.0,3,111.8,74.1,20,0.383,60,0.367,22,0.217,13,0.769,10,12,200,82.4,17.6,6,12,56,,4.4,3,0.267,16,0.125,2,42.6,26,0.423,12.0,9,44,0.455,20,0.52,13,"Liacouras Center, Philadelphia, Pennsylvania",TEMPLE,Temple,68.0,Away,VILLANOVA,Villanova,Temple,aac
2020-02-20-19-temple,43.8,14,6.0,3,94.9,86.8,33,0.433,82,0.39,32,0.244,20,0.9,18,12,250,90.8,21.4,9,23,89,,7.1,7,0.293,24,0.292,7,52.5,42,0.486,16.5,18,58,0.431,25,0.538,14,"February 20, 2020",56.7,17,6.9,4,90.8,78.6,33,0.493,67,0.448,30,0.522,35,0.771,27,12,250,94.9,13.2,5,20,93,,11.2,11,0.254,17,0.353,6,47.5,38,0.556,17.1,17,50,0.48,24,0.538,14,"Liacouras Center, Philadelphia, Pennsylvania",CONNECTICUT,UConn,78.5,Home,TEMPLE,Temple,Temple,aac
2020-02-23-12-east-carolina,45.5,10,11.6,5,91.8,72.2,26,0.403,62,0.355,22,0.419,26,0.5,13,13,200,86.3,26.2,11,20,63,,11.0,8,0.387,24,0.25,6,47.4,37,0.424,16.0,14,38,0.421,16,0.519,14,"February 23, 2020",60.9,14,13.2,5,86.3,73.8,31,0.431,58,0.397,23,0.414,24,0.708,17,17,200,91.8,27.8,10,20,67,,12.3,9,0.259,15,0.267,4,52.6,41,0.483,12.7,10,43,0.442,19,0.393,11,"Williams Arena at Minges Coliseum, Greenville, North Carolina",TEMPLE,Temple,73.4,Home,EAST-CAROLINA,East Carolina,Temple,aac
2020-02-27-20-wichita-state,33.3,8,2.9,1,102.9,76.7,23,0.482,55,0.436,24,0.436,24,0.667,16,14,200,98.6,20.7,6,14,69,,14.3,10,0.309,17,0.294,5,49.2,29,0.52,14.4,11,38,0.5,19,0.5,14,"February 27, 2020",71.4,20,10.5,4,98.6,79.3,23,0.58,56,0.5,28,0.196,11,0.636,7,7,200,102.9,23.3,7,17,72,,11.4,8,0.375,21,0.429,9,50.8,30,0.588,19.8,15,35,0.543,19,0.75,21,"Charles Koch Arena, Wichita, Kansas",TEMPLE,Temple,70.3,Home,WICHITA-STATE,Wichita State,Temple,aac
2020-03-01-12-temple,59.1,13,11.8,4,89.2,75.0,24,0.432,59,0.373,22,0.305,18,0.722,13,16,200,98.5,29.7,11,12,64,,9.2,6,0.339,20,0.35,7,50.7,35,0.474,11.9,9,39,0.385,15,0.448,13,"March 1, 2020",75.0,15,12.8,5,98.5,70.3,26,0.436,55,0.364,20,0.218,12,0.833,10,15,200,89.2,25.0,8,15,58,,9.2,6,0.382,21,0.381,8,49.3,34,0.478,15.4,11,34,0.353,12,0.483,14,"Liacouras Center, Philadelphia, Pennsylvania",TEMPLE,Temple,64.6,Away,SOUTH-FLORIDA,South Florida,Temple,aac
2020-03-04-19-temple,61.9,13,6.5,2,78.5,69.0,29,0.453,53,0.396,21,0.358,19,0.684,13,9,200,93.8,18.8,6,13,61,,4.6,3,0.434,23,0.261,6,47.3,35,0.492,12.8,9,30,0.5,15,0.7,21,"March 4, 2020",70.6,12,13.3,4,93.8,81.3,26,0.351,57,0.298,17,0.316,18,0.611,11,16,200,78.5,31.0,13,17,51,,4.6,3,0.456,26,0.231,6,52.7,39,0.389,15.6,12,31,0.355,11,0.467,14,"Liacouras Center, Philadelphia, Pennsylvania",TEMPLE,Temple,64.8,Away,TULSA,Tulsa,Temple,aac
2020-03-07-20-cincinnati,77.3,17,12.1,4,98.5,74.2,23,0.449,59,0.373,22,0.186,11,0.909,10,17,200,96.9,26.7,8,20,63,,6.2,4,0.322,19,0.474,9,50.8,31,0.49,11.1,8,40,0.325,13,0.452,14,"March 7, 2020",61.9,13,20.0,8,96.9,73.3,22,0.445,55,0.382,21,0.4,22,0.682,15,10,200,98.5,25.8,8,15,64,,3.1,2,0.4,22,0.318,7,49.2,30,0.489,12.2,9,33,0.424,14,0.667,20,"Fifth Third Arena, Cincinnati, Ohio",TEMPLE,Temple,65.3,Home,CINCINNATI,Cincinnati,Temple,aac
