,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-12-14-13-boston-university,34.5,10,6.7,2,116.4,81.0,17,0.485,65,0.446,29,0.277,18,0.722,13,5,200,113.4,34.3,12,25,76,,7.5,5,0.323,21,0.238,5,51.8,29,0.517,8.8,7,44,0.545,24,0.545,6,"December 14, 2019",51.9,14,9.1,4,113.4,65.7,23,0.663,46,0.587,27,0.609,28,0.607,17,7,200,116.4,19.0,4,17,78,,1.5,1,0.348,16,0.438,7,48.2,27,0.658,15.9,11,30,0.667,20,0.364,4,"Case Gym, Boston, Massachusetts",DARTMOUTH,Dartmouth,67.4,Home,BOSTON-UNIVERSITY,Boston University,Dartmouth,ivy
2019-12-18-11-dartmouth,34.8,8,0.0,0,105.6,78.8,26,0.442,60,0.383,23,0.233,14,0.5,7,11,200,83.3,10.3,4,25,60,,6.9,5,0.367,22,0.318,7,41.7,30,0.45,13.1,10,38,0.421,16,0.0,0,"December 18, 2019",67.9,19,13.2,5,83.3,89.7,35,0.553,57,0.491,28,0.386,22,0.591,13,5,200,105.6,21.2,7,17,76,,2.8,2,0.491,28,0.25,7,58.3,42,0.563,13.0,10,29,0.724,21,0.583,7,"Leede Arena, Hanover, New Hampshire",CENTRAL-CONNECTICUT-STATE,Central Connecticut,71.6,Home,DARTMOUTH,Dartmouth,Dartmouth,ivy
2019-12-21-12-dartmouth,56.5,13,18.2,8,84.5,76.5,26,0.558,52,0.442,23,0.231,12,0.5,6,4,200,90.1,3.0,1,15,64,,7.0,5,0.519,27,0.444,12,40.3,27,0.555,19.6,14,25,0.44,11,0.667,8,"December 21, 2019",33.3,8,8.0,2,90.1,97.0,32,0.418,61,0.393,24,0.23,14,0.643,9,6,200,84.5,23.5,8,13,60,,7.0,5,0.279,17,0.176,3,59.7,40,0.443,15.2,12,44,0.477,21,0.538,7,"Leede Arena, Hanover, New Hampshire",DARTMOUTH,Dartmouth,71.2,Away,BRYANT,Bryant,Dartmouth,ivy
2019-12-30-14-new-hampshire,36.8,7,0.0,0,94.6,93.9,31,0.35,60,0.317,19,0.35,21,0.667,14,7,200,75.7,17.1,7,19,56,,4.1,3,0.317,19,0.211,4,51.4,38,0.4,12.6,10,41,0.366,15,0.5,7,"December 30, 2019",45.8,11,2.4,1,75.7,82.9,34,0.491,57,0.421,24,0.333,19,0.737,14,6,200,94.6,6.1,2,18,70,,8.1,6,0.439,25,0.32,8,48.6,36,0.53,13.3,10,32,0.5,16,0.538,7,"Lundholm Gymnasium, Durham, New Hampshire",DARTMOUTH,Dartmouth,73.5,Home,NEW-HAMPSHIRE,New Hampshire,Dartmouth,ivy
2020-01-02-19-dartmouth,40.7,11,3.2,1,93.2,100.0,20,0.527,56,0.482,27,0.464,26,0.692,18,5,200,105.5,13.3,4,19,77,,15.1,11,0.393,22,0.227,5,48.0,24,0.563,10.6,8,34,0.647,22,0.667,10,"January 2, 2020",50.0,12,5.9,2,105.5,86.7,26,0.587,46,0.522,24,0.478,22,0.636,14,8,200,93.2,0.0,0,24,68,,4.1,3,0.326,15,0.4,6,52.0,26,0.602,24.4,18,31,0.581,18,0.467,7,"Leede Arena, Hanover, New Hampshire",DARTMOUTH,Dartmouth,73.4,Away,VERMONT,Vermont,Dartmouth,ivy
2020-01-18-14-harvard,52.4,11,0.0,0,101.5,77.4,24,0.481,52,0.404,21,0.269,14,0.857,12,9,200,93.9,16.7,5,22,62,,9.1,6,0.385,20,0.4,8,47.5,29,0.529,17.1,12,32,0.406,13,0.438,7,"January 18, 2020",66.7,14,18.8,6,93.9,83.3,25,0.51,48,0.438,21,0.5,24,0.75,18,4,200,101.5,22.6,7,16,67,,7.6,5,0.458,22,0.318,7,52.5,32,0.564,18.2,13,26,0.538,14,0.75,12,"Lavietes Pavilion, Boston, Massachusetts",DARTMOUTH,Dartmouth,65.5,Home,HARVARD,Harvard,Dartmouth,ivy
2020-01-25-19-dartmouth,42.3,11,11.1,4,89.2,78.4,29,0.542,59,0.441,26,0.271,16,0.375,6,4,200,94.6,30.6,11,19,70,,9.5,7,0.492,29,0.414,12,54.8,40,0.526,20.5,17,30,0.467,14,0.765,13,"January 25, 2020",33.3,8,3.3,1,94.6,69.4,25,0.429,63,0.381,24,0.254,16,0.75,12,10,200,89.2,21.6,8,18,66,,9.5,7,0.429,27,0.222,6,45.2,33,0.467,15.7,13,36,0.5,18,0.412,7,"Leede Arena, Hanover, New Hampshire",DARTMOUTH,Dartmouth,74.1,Away,HARVARD,Harvard,Dartmouth,ivy
2020-01-31-19-princeton,36.8,7,11.4,4,108.2,88.5,23,0.394,52,0.365,19,0.077,4,0.75,3,11,200,72.1,10.7,3,8,44,,4.9,3,0.231,12,0.25,3,48.1,26,0.408,15.7,10,40,0.4,16,0.389,7,"January 31, 2020",46.4,13,7.5,3,72.1,89.3,25,0.594,53,0.528,28,0.113,6,0.5,3,8,200,108.2,11.5,3,12,66,,11.5,7,0.34,18,0.389,7,51.9,28,0.591,12.6,8,35,0.6,21,0.5,8,"Jadwin Gymnasium, Princeton, New Jersey",DARTMOUTH,Dartmouth,60.9,Home,PRINCETON,Princeton,Dartmouth,ivy
2020-02-01-18-pennsylvania,38.9,7,5.9,2,84.4,79.4,27,0.364,55,0.327,18,0.182,10,0.6,6,12,200,71.9,18.4,7,16,46,,7.8,5,0.309,17,0.235,4,47.2,34,0.385,16.8,12,38,0.368,14,0.368,7,"February 1, 2020",45.0,9,2.6,1,71.9,81.6,31,0.433,52,0.385,20,0.288,15,0.6,9,7,200,84.4,20.6,7,15,54,,12.5,8,0.346,18,0.278,5,52.8,38,0.457,15.8,11,34,0.441,15,0.588,10,"The Palestra, Philadelphia, Pennsylvania",DARTMOUTH,Dartmouth,63.9,Home,PENNSYLVANIA,Penn,Dartmouth,ivy
2020-02-07-19-brown,44.4,12,11.8,4,98.5,71.0,22,0.63,50,0.54,27,0.1,5,0.4,2,13,200,95.6,13.6,3,25,65,,7.4,5,0.3,15,0.6,9,47.2,25,0.621,25.6,18,35,0.514,18,0.35,7,"February 7, 2020",47.6,10,11.4,4,95.6,86.4,19,0.453,53,0.396,21,0.491,26,0.731,19,8,200,98.5,29.0,9,11,67,,10.3,7,0.358,19,0.316,6,52.8,28,0.513,15.7,12,34,0.441,15,0.556,10,"Pizzitola Sports Center, Providence, Rhode Island",DARTMOUTH,Dartmouth,67.9,Home,BROWN,Brown,Dartmouth,ivy
2020-02-08-19-yale,54.5,12,3.6,1,111.9,76.7,23,0.48,51,0.431,22,0.216,11,0.727,8,14,200,85.1,6.7,2,25,57,,9.0,6,0.392,20,0.25,5,41.7,25,0.507,20.0,14,31,0.548,17,0.333,7,"February 8, 2020",57.7,15,0.0,0,85.1,93.3,28,0.596,52,0.5,26,0.442,23,0.565,13,5,200,111.9,23.3,7,15,75,,7.5,5,0.462,24,0.417,10,58.3,35,0.596,13.9,10,28,0.571,16,0.773,17,"John J. Lee Ampitheater, New Haven, Connecticut",DARTMOUTH,Dartmouth,67.1,Home,YALE,Yale,Dartmouth,ivy
2020-02-14-19-dartmouth,33.3,7,0.0,0,98.5,78.6,22,0.435,54,0.389,21,0.296,16,1.0,16,17,200,95.5,13.8,4,14,63,,10.6,7,0.444,24,0.208,5,45.6,26,0.511,12.8,9,30,0.533,16,0.261,6,"February 14, 2020",57.7,15,10.0,3,95.5,86.2,25,0.518,55,0.473,26,0.2,11,0.727,8,14,200,98.5,21.4,6,11,65,,7.6,5,0.4,22,0.227,5,54.4,31,0.54,16.7,12,33,0.636,21,0.364,8,"Leede Arena, Hanover, New Hampshire",COLUMBIA,Columbia,66.4,Home,DARTMOUTH,Dartmouth,Dartmouth,ivy
2020-02-15-19-dartmouth,45.0,9,11.8,4,121.0,58.3,14,0.402,56,0.357,20,0.196,11,0.727,8,16,200,85.5,16.7,5,18,53,,6.5,4,0.411,23,0.217,5,35.2,19,0.433,10.3,7,33,0.455,15,0.238,5,"February 15, 2020",51.9,14,12.1,4,85.5,83.3,25,0.588,51,0.529,27,0.353,18,0.833,15,14,200,121.0,41.7,10,15,75,,6.5,4,0.333,17,0.353,6,64.8,35,0.63,15.7,11,34,0.618,21,0.391,9,"Leede Arena, Hanover, New Hampshire",CORNELL,Cornell,61.9,Home,DARTMOUTH,Dartmouth,Dartmouth,ivy
2020-02-21-19-dartmouth,45.5,10,8.3,3,91.7,76.7,23,0.45,60,0.367,22,0.083,5,1.0,5,9,200,81.9,14.3,5,16,59,,6.9,5,0.55,33,0.303,10,43.1,28,0.473,19.4,15,27,0.444,12,0.591,13,"February 21, 2020",54.5,12,18.5,5,81.9,85.7,30,0.438,56,0.393,22,0.375,21,0.81,17,14,200,91.7,23.3,7,10,66,,11.1,8,0.357,20,0.25,5,56.9,37,0.5,16.6,13,36,0.472,17,0.417,10,"Leede Arena, Hanover, New Hampshire",PENNSYLVANIA,Penn,72.2,Home,DARTMOUTH,Dartmouth,Dartmouth,ivy
2020-02-22-19-dartmouth,58.3,14,4.3,2,101.6,86.7,26,0.557,53,0.453,24,0.151,8,0.75,6,11,200,106.6,8.3,2,11,65,,4.9,3,0.528,28,0.393,11,51.9,28,0.572,11.0,7,25,0.52,13,0.522,12,"February 22, 2020",42.3,11,8.0,2,106.6,91.7,22,0.491,56,0.464,26,0.179,10,0.7,7,15,200,101.6,13.3,4,11,62,,8.2,5,0.179,10,0.3,3,48.1,26,0.51,6.2,4,46,0.5,23,0.4,10,"Leede Arena, Hanover, New Hampshire",DARTMOUTH,Dartmouth,61.3,Away,PRINCETON,Princeton,Dartmouth,ivy
2020-02-28-19-cornell,64.0,16,2.9,1,107.7,86.2,25,0.678,45,0.556,25,0.644,29,0.724,21,15,200,126.2,13.6,3,17,82,,1.5,1,0.511,23,0.478,11,54.9,28,0.698,14.8,10,22,0.636,14,0.423,11,"February 28, 2020",52.0,13,18.2,4,126.2,86.4,19,0.549,51,0.49,25,0.431,22,0.636,14,18,200,107.7,13.8,4,17,70,,3.1,2,0.333,17,0.353,6,45.1,23,0.57,9.0,6,34,0.559,19,0.25,6,"Newman Arena, Ithaca, New York",CORNELL,Cornell,64.6,Away,DARTMOUTH,Dartmouth,Dartmouth,ivy
2020-02-29-19-columbia,72.0,18,4.4,2,83.8,81.4,35,0.534,58,0.431,25,0.362,21,0.667,14,15,200,111.8,19.4,7,14,76,,2.9,2,0.621,36,0.333,12,53.2,42,0.559,9.4,7,22,0.591,13,0.444,12,"February 29, 2020",45.5,10,9.1,2,111.8,80.6,29,0.348,66,0.333,22,0.227,15,0.733,11,22,200,83.8,18.6,8,17,57,,7.4,5,0.318,21,0.095,2,46.8,37,0.39,2.7,2,45,0.444,20,0.214,6,"Levien Gym, New York, New York",COLUMBIA,Columbia,67.6,Away,DARTMOUTH,Dartmouth,Dartmouth,ivy
2020-03-06-19-dartmouth,38.5,10,6.5,2,93.8,87.1,27,0.525,59,0.441,26,0.254,15,0.667,10,6,200,110.8,24.1,7,12,72,,10.8,7,0.441,26,0.385,10,56.7,34,0.544,8.4,6,33,0.485,16,0.793,23,"March 6, 2020",43.5,10,6.1,2,110.8,75.9,22,0.5,52,0.442,23,0.308,16,0.563,9,16,200,93.8,12.9,4,16,61,,6.2,4,0.404,21,0.286,6,43.3,26,0.512,14.5,10,31,0.548,17,0.429,12,"Leede Arena, Hanover, New Hampshire",DARTMOUTH,Dartmouth,65.4,Away,YALE,Yale,Dartmouth,ivy
2020-03-07-19-dartmouth,28.6,6,7.1,2,86.6,84.0,21,0.447,57,0.368,21,0.386,22,0.864,19,12,200,104.5,18.8,6,10,70,,16.4,11,0.456,26,0.346,9,47.4,27,0.519,9.5,7,31,0.387,12,0.556,15,"March 7, 2020",60.9,14,12.9,4,104.5,81.3,26,0.531,48,0.479,23,0.188,9,0.778,7,17,200,86.6,16.0,4,17,58,,7.5,5,0.417,20,0.25,5,52.6,30,0.555,24.7,17,28,0.643,18,0.414,12,"Leede Arena, Hanover, New Hampshire",DARTMOUTH,Dartmouth,66.9,Away,BROWN,Brown,Dartmouth,ivy
