,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-12-21-17-kentucky,68.2,15,19.4,7,98.5,75.0,24,0.568,44,0.5,22,0.614,27,0.778,21,1,200,107.6,27.3,6,16,71,5,7.6,5,0.432,19,0.316,6,55.6,30,0.625,20.0,14,25,0.64,16,0.917,11,"December 21, 2019",68.0,17,12.0,3,107.6,72.7,16,0.483,59,0.424,25,0.22,13,0.615,8,3,200,98.5,25.0,8,25,65,6,10.6,7,0.39,23,0.304,7,44.4,24,0.499,13.4,10,36,0.5,18,0.727,8,"T-Mobile Arena, Las Vegas, Nevada",KENTUCKY,Kentucky,66.0,Away,OHIO-STATE,Ohio State,Kentucky,sec
2019-12-28-15-kentucky,44.4,12,0.0,0,109.9,65.4,17,0.455,67,0.403,27,0.299,20,0.45,9,2,225,98.6,33.3,13,25,70,3,7.0,5,0.403,27,0.259,7,46.2,30,0.458,12.7,11,40,0.5,20,0.846,11,"December 28, 2019",48.0,12,12.5,5,98.6,66.7,26,0.528,54,0.463,25,0.463,25,0.84,21,3,225,109.9,34.6,9,22,78,19,7.0,5,0.278,15,0.467,7,53.8,35,0.592,13.3,10,39,0.462,18,0.75,9,"Rupp Arena, Lexington, Kentucky",LOUISVILLE,Louisville,62.8,Home,KENTUCKY,Kentucky,Kentucky,sec
2020-01-04-14-kentucky,33.3,7,12.5,4,101.4,73.9,17,0.414,58,0.362,21,0.293,17,0.647,11,5,200,84.3,21.2,7,28,59,,11.4,8,0.31,18,0.333,6,42.9,24,0.446,14.4,11,40,0.375,15,0.615,8,"January 4, 2020",65.0,13,20.0,8,84.3,78.8,26,0.458,48,0.417,20,0.625,30,0.9,27,3,200,101.4,26.1,6,19,71,17,4.3,3,0.333,16,0.25,4,57.1,32,0.57,17.5,13,32,0.5,16,0.769,10,"Rupp Arena, Lexington, Kentucky",MISSOURI,Missouri,69.7,Home,KENTUCKY,Kentucky,Kentucky,sec
2020-01-07-21-georgia,58.1,18,17.6,6,93.2,81.3,26,0.548,62,0.5,31,0.323,20,0.5,10,3,200,105.4,29.7,11,19,78,14,9.5,7,0.194,12,0.5,6,53.6,37,0.545,14.5,12,50,0.5,25,0.786,11,"January 7, 2020",45.8,11,4.0,2,105.4,70.3,26,0.465,57,0.421,24,0.404,23,0.696,16,4,200,93.2,18.8,6,21,69,,10.8,8,0.404,23,0.217,5,46.4,32,0.508,17.3,14,34,0.559,19,0.714,10,"Stegeman Coliseum, Athens, Georgia",GEORGIA,Georgia,74.2,Away,KENTUCKY,Kentucky,Kentucky,sec
2020-01-11-12-kentucky,50.0,14,12.5,6,98.7,74.2,23,0.395,76,0.368,28,0.158,12,0.583,7,7,200,87.0,28.9,13,14,67,,3.9,3,0.276,21,0.19,4,47.4,36,0.41,9.0,8,55,0.436,24,0.533,8,"January 11, 2020",53.6,15,14.5,8,87.0,71.1,32,0.516,63,0.444,28,0.27,17,0.647,11,3,200,98.7,25.8,8,13,76,14,6.5,5,0.238,15,0.6,9,52.6,40,0.535,16.6,14,48,0.396,19,0.8,12,"Rupp Arena, Lexington, Kentucky",ALABAMA,Alabama,76.9,Home,KENTUCKY,Kentucky,Kentucky,sec
2020-01-15-18-south-carolina,41.7,10,11.1,6,102.5,66.7,30,0.482,55,0.436,24,0.655,36,0.694,25,4,200,98.7,30.3,10,26,78,10,6.3,5,0.273,15,0.333,5,51.3,40,0.541,17.5,15,40,0.475,19,0.75,12,"January 15, 2020",44.8,13,7.5,3,98.7,69.7,23,0.445,73,0.397,29,0.411,30,0.533,16,7,200,102.5,33.3,15,28,81,,6.3,5,0.26,19,0.368,7,48.7,38,0.464,9.5,9,54,0.407,22,0.562,9,"The Colonial Life Arena, Columbia, South Carolina",KENTUCKY,Kentucky,79.2,Home,SOUTH-CAROLINA,South Carolina,Kentucky,sec
2020-01-18-16-arkansas,50.0,12,16.1,5,90.4,82.5,33,0.491,54,0.444,24,0.5,27,0.741,20,4,200,100.0,34.4,11,24,73,10,6.8,5,0.259,14,0.357,5,61.1,44,0.546,18.5,15,40,0.475,19,0.765,13,"January 18, 2020",42.1,8,12.5,5,100.0,65.6,21,0.404,57,0.333,19,0.526,30,0.667,20,3,200,90.4,17.5,7,22,66,,11.0,8,0.456,26,0.308,8,38.9,28,0.463,13.5,11,31,0.355,11,0.824,14,"Bud Walton Arena, Fayetteville, Arkansas",ARKANSAS,Arkansas,73.0,Away,KENTUCKY,Kentucky,Kentucky,sec
2020-01-21-19-kentucky,44.4,12,2.0,1,121.9,58.6,17,0.484,62,0.435,27,0.371,23,0.826,19,7,200,108.2,29.7,11,24,79,,6.8,5,0.403,25,0.24,6,42.4,28,0.542,14.3,12,37,0.568,21,0.611,11,"January 21, 2020",48.4,15,21.6,8,108.2,70.3,26,0.534,59,0.525,31,0.559,33,0.788,26,4,200,121.9,41.4,12,19,89,15,8.2,6,0.153,9,0.111,1,57.6,38,0.596,12.0,10,50,0.6,30,0.778,14,"Rupp Arena, Lexington, Kentucky",GEORGIA,Georgia,73.3,Home,KENTUCKY,Kentucky,Kentucky,sec
2020-01-25-18-texas-tech,50.0,12,13.3,6,96.1,74.3,26,0.5,55,0.436,24,0.455,25,0.84,21,4,225,98.7,30.0,9,23,76,15,7.8,6,0.273,15,0.467,7,53.8,35,0.568,22.4,19,40,0.425,17,0.789,15,"January 25, 2020",51.9,14,7.5,3,98.7,70.0,21,0.445,64,0.422,27,0.359,23,0.739,17,7,225,96.1,25.7,9,17,74,18,7.8,6,0.297,19,0.158,3,46.2,30,0.494,13.9,12,45,0.533,24,0.632,12,"United Supermarkets Arena, Lubbock, Texas",TEXAS-TECH,Texas Tech,68.8,Away,KENTUCKY,Kentucky,Kentucky,sec
2020-01-29-18-kentucky,38.1,8,10.9,5,106.0,75.0,21,0.472,54,0.389,21,0.296,16,0.688,11,12,200,92.5,24.2,8,19,62,,7.5,5,0.481,26,0.346,9,47.5,29,0.503,16.4,12,28,0.429,12,0.4,8,"January 29, 2020",50.0,13,10.7,3,92.5,75.8,25,0.491,56,0.464,26,0.339,19,0.842,16,4,200,106.0,25.0,7,16,71,13,6.0,4,0.179,10,0.3,3,52.5,32,0.546,14.6,11,46,0.5,23,0.8,16,"Rupp Arena, Lexington, Kentucky",VANDERBILT,Vanderbilt,67.3,Home,KENTUCKY,Kentucky,Kentucky,sec
2020-02-01-18-auburn,40.0,8,21.4,6,117.2,55.6,20,0.469,49,0.408,20,0.49,24,0.833,20,5,200,103.1,17.2,5,29,66,13,0.0,0,0.327,16,0.375,6,38.5,25,0.546,14.4,10,33,0.424,14,0.762,16,"February 1, 2020",50.0,9,6.1,2,103.1,82.8,24,0.412,51,0.353,18,0.863,44,0.75,33,2,200,117.2,44.4,16,19,75,17,10.9,7,0.451,23,0.261,6,61.5,40,0.522,7.9,6,28,0.429,12,0.905,19,"Auburn Arena, Auburn, Alabama",KENTUCKY,Kentucky,63.7,Home,AUBURN,Auburn,Kentucky,sec
2020-02-04-21-kentucky,20.0,5,9.1,4,111.1,75.9,22,0.404,68,0.368,25,0.309,21,0.81,17,8,200,100.0,35.7,15,25,72,,2.8,2,0.235,16,0.313,5,52.1,37,0.462,11.5,10,52,0.385,20,0.636,14,"February 4, 2020",58.3,14,3.8,2,100.0,64.3,27,0.454,54,0.444,24,0.667,36,0.861,31,5,200,111.1,24.1,7,14,80,15,9.7,7,0.185,10,0.1,1,47.9,34,0.563,9.1,7,44,0.523,23,0.773,17,"Rupp Arena, Lexington, Kentucky",MISSISSIPPI-STATE,Mississippi State,72.0,Home,KENTUCKY,Kentucky,Kentucky,sec
2020-02-08-13-tennessee,40.0,10,10.3,3,98.5,73.5,25,0.598,46,0.543,25,0.543,25,0.88,22,5,200,118.5,23.8,5,21,77,15,9.2,6,0.217,10,0.5,5,54.5,30,0.665,17.4,12,36,0.556,20,0.783,18,"February 8, 2020",63.2,12,16.7,6,118.5,76.2,16,0.409,55,0.345,19,0.436,24,0.792,19,10,200,98.5,26.5,9,20,64,,7.7,5,0.473,26,0.269,7,45.5,25,0.482,10.9,8,29,0.414,12,0.565,13,"Thompson-Boling Arena, Knoxville, Tennessee",TENNESSEE,Tennessee,65.1,Away,KENTUCKY,Kentucky,Kentucky,sec
2020-02-11-19-vanderbilt,42.9,12,38.7,12,94.1,84.2,32,0.525,59,0.475,28,0.322,19,0.842,16,5,200,114.7,25.8,8,19,78,12,7.4,5,0.153,9,0.667,6,58.0,40,0.573,10.6,8,50,0.44,22,0.792,19,"February 11, 2020",59.1,13,8.0,4,114.7,74.2,23,0.466,59,0.373,22,0.288,17,0.529,9,15,200,94.1,15.8,6,19,64,,4.4,3,0.475,28,0.393,11,42.0,29,0.477,8.3,6,31,0.355,11,0.375,9,"Memorial Gymnasium, Nashville, Tennessee",VANDERBILT,Vanderbilt,67.6,Away,KENTUCKY,Kentucky,Kentucky,sec
2020-02-15-14-kentucky,12.5,3,10.8,4,95.7,72.7,24,0.45,60,0.4,24,0.183,11,0.727,8,12,200,88.6,22.2,8,19,62,,12.9,9,0.283,17,0.353,6,46.4,32,0.475,14.5,11,43,0.419,18,0.52,13,"February 15, 2020",34.8,8,9.3,4,88.6,77.8,28,0.407,59,0.39,23,0.407,24,0.792,19,5,200,95.7,27.3,9,16,67,12,4.3,3,0.373,22,0.091,2,53.6,37,0.476,13.7,11,37,0.568,21,0.8,20,"Rupp Arena, Lexington, Kentucky",MISSISSIPPI,Ole Miss,70.3,Home,KENTUCKY,Kentucky,Kentucky,sec
2020-02-18-21-louisiana-state,51.7,15,23.9,11,108.6,50.0,19,0.549,61,0.475,29,0.262,16,0.75,12,5,200,112.9,34.4,11,17,79,10,7.1,5,0.295,18,0.5,9,42.9,30,0.576,13.9,11,43,0.465,20,0.808,21,"February 18, 2020",42.3,11,7.0,3,112.9,65.6,21,0.447,66,0.394,26,0.364,24,0.708,17,8,200,108.6,50.0,19,16,76,,8.6,6,0.303,20,0.35,7,57.1,40,0.491,13.6,12,46,0.413,19,0.692,18,"Maravich Assembly Center, Baton Rouge, Louisiana",LOUISIANA-STATE,LSU,69.5,Away,KENTUCKY,Kentucky,Kentucky,sec
2020-02-22-18-kentucky,45.5,10,5.3,2,100.0,79.2,19,0.49,51,0.431,22,0.275,14,0.643,9,10,200,90.8,27.6,8,15,59,,12.3,8,0.451,23,0.261,6,50.9,27,0.512,20.8,15,28,0.571,16,0.63,17,"February 22, 2020",44.0,11,7.1,2,90.8,72.4,21,0.519,53,0.472,25,0.189,10,1.0,10,5,200,100.0,20.8,5,15,65,10,12.3,8,0.283,15,0.333,5,49.1,26,0.563,18.5,13,38,0.526,20,0.815,22,"Rupp Arena, Lexington, Kentucky",FLORIDA,Florida,65.2,Home,KENTUCKY,Kentucky,Kentucky,sec
2020-02-25-19-texas-am,70.8,17,19.2,5,96.8,86.2,25,0.641,46,0.522,24,0.239,11,0.909,10,5,200,111.3,27.3,6,18,69,8,8.1,5,0.478,22,0.5,11,60.8,31,0.673,22.8,15,24,0.542,13,0.821,23,"February 25, 2020",65.0,13,8.3,2,111.3,72.7,16,0.521,48,0.417,20,0.292,14,0.714,10,13,200,96.8,13.8,4,16,60,,4.8,3,0.458,22,0.455,10,39.2,20,0.549,19.4,13,26,0.385,10,0.519,14,"Reed Arena, College Station, Texas",TEXAS-AM,Texas A&M,61.9,Away,KENTUCKY,Kentucky,Kentucky,sec
2020-02-29-15-kentucky,54.5,12,7.7,3,104.3,78.1,25,0.434,61,0.361,22,0.361,22,0.591,13,5,200,94.3,23.7,9,23,66,15,4.3,3,0.557,34,0.265,9,48.6,34,0.462,12.4,10,27,0.481,13,0.828,24,"February 29, 2020",50.0,11,7.4,2,94.3,76.3,29,0.442,52,0.423,22,0.635,33,0.818,27,5,200,104.3,21.9,7,23,73,8,10.0,7,0.25,13,0.154,2,51.4,36,0.539,9.5,7,39,0.513,20,0.828,24,"Rupp Arena, Lexington, Kentucky",AUBURN,Auburn,70.1,Home,KENTUCKY,Kentucky,Kentucky,sec
2020-03-03-21-kentucky,50.0,14,4.7,2,105.8,70.4,19,0.604,53,0.528,28,0.396,21,0.81,17,13,200,117.4,36.0,9,18,81,,7.2,5,0.34,18,0.444,8,53.8,28,0.643,17.3,13,35,0.571,20,0.567,17,"March 3, 2020",36.0,9,11.4,4,117.4,64.0,16,0.5,56,0.446,25,0.357,20,0.85,17,6,200,105.8,29.6,8,20,73,6,8.7,6,0.232,13,0.462,6,46.2,24,0.557,17.8,14,43,0.442,19,0.8,24,"Rupp Arena, Lexington, Kentucky",KENTUCKY,Kentucky,69.2,Away,TENNESSEE,Tennessee,Kentucky,sec
2020-03-07-13-florida,33.3,9,0.0,0,118.6,73.7,14,0.544,57,0.474,27,0.193,11,0.818,9,6,200,120.3,46.4,13,16,71,6,6.8,4,0.228,13,0.615,8,57.4,27,0.571,12.7,9,44,0.432,19,0.806,25,"March 7, 2020",52.0,13,9.1,4,120.3,53.6,15,0.594,48,0.521,25,0.354,17,0.765,13,12,200,118.6,26.3,5,13,70,,5.1,3,0.292,14,0.5,7,42.6,20,0.624,14.0,9,34,0.529,18,0.613,19,"Stephen C. O'Connell Center, Gainesville, Florida",FLORIDA,Florida,59.2,Away,KENTUCKY,Kentucky,Kentucky,sec
