,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-12-14-18-illinois,57.1,12,0.0,0,100.0,82.6,19,0.421,57,0.368,21,0.14,8,0.875,7,8,200,79.7,25.0,8,23,55,,10.1,7,0.316,18,0.333,6,49.1,27,0.452,22.9,18,39,0.385,15,0.273,3,"December 14, 2019",68.2,15,5.1,2,79.7,75.0,24,0.543,47,0.468,22,0.426,20,0.9,18,3,200,100.0,17.4,4,12,69,,10.1,7,0.426,20,0.35,7,50.9,28,0.611,21.2,15,27,0.556,15,0.727,8,"State Farm Center, Champaign, Illinois",OLD-DOMINION,Old Dominion,69.2,Home,ILLINOIS,Illinois,Illinois,big-ten
2019-12-21-13-missouri,22.2,4,12.5,5,92.6,58.6,17,0.38,50,0.36,18,0.46,23,0.783,18,4,200,82.4,32.1,9,20,56,,10.3,7,0.28,14,0.143,2,45.6,26,0.46,22.0,17,36,0.444,16,0.667,8,"December 21, 2019",39.1,9,8.3,3,82.4,67.9,19,0.472,54,0.426,23,0.296,16,0.75,12,4,200,92.6,41.4,12,21,63,,14.7,10,0.259,14,0.357,5,54.4,31,0.511,21.8,17,40,0.45,18,0.636,7,"Scottrade Center, St. Louis, Missouri",ILLINOIS,Illinois,67.8,Home,MISSOURI,Missouri,Illinois,big-ten
2019-12-29-14-illinois,45.8,11,16.7,7,131.9,62.5,20,0.529,52,0.462,24,0.269,14,0.643,9,11,200,88.9,17.2,5,20,64,,6.9,5,0.308,16,0.438,7,41.0,25,0.546,23.6,18,36,0.472,17,0.214,3,"December 29, 2019",61.1,22,13.9,5,88.9,82.8,24,0.61,68,0.529,36,0.279,19,0.632,12,4,200,131.9,37.5,12,17,95,,9.7,7,0.382,26,0.423,11,59.0,36,0.617,9.5,8,42,0.595,25,0.692,9,"State Farm Center, Champaign, Illinois",NORTH-CAROLINA-AT,North Carolina A&T,72.3,Home,ILLINOIS,Illinois,Illinois,big-ten
2020-01-02-20-michigan-state,63.6,14,7.9,3,102.7,71.4,25,0.313,75,0.293,22,0.2,15,0.6,9,5,200,75.7,26.5,13,17,56,,2.7,2,0.373,28,0.107,3,45.2,38,0.341,8.9,8,47,0.404,19,0.643,9,"January 2, 2020",76.9,20,19.1,9,75.7,73.5,36,0.492,60,0.433,26,0.4,24,0.708,17,3,200,102.7,28.6,10,19,76,14,2.7,2,0.367,22,0.318,7,54.8,46,0.532,12.4,10,38,0.5,19,0.786,11,"Breslin Events Center, East Lansing, Michigan",ILLINOIS,Illinois,74.3,Home,MICHIGAN-STATE,Michigan State,Illinois,big-ten
2020-01-05-20-illinois,40.0,6,5.3,2,95.5,69.0,20,0.275,60,0.25,15,0.167,10,0.4,4,6,200,56.1,20.0,8,10,37,,4.5,3,0.283,17,0.176,3,40.6,28,0.286,14.6,11,43,0.279,12,0.6,9,"January 5, 2020",53.8,14,9.3,4,56.1,80.0,32,0.518,57,0.456,26,0.14,8,0.5,4,5,200,95.5,31.0,9,16,63,,7.6,5,0.333,19,0.368,7,59.4,41,0.518,17.7,13,38,0.5,19,0.667,10,"State Farm Center, Champaign, Illinois",PURDUE,Purdue,66.3,Home,ILLINOIS,Illinois,Illinois,big-ten
2020-01-08-21-wisconsin,39.3,11,5.3,2,109.4,69.0,20,0.553,57,0.491,28,0.263,15,0.533,8,5,200,110.9,21.4,6,22,71,,1.6,1,0.281,16,0.438,7,45.6,26,0.554,9.9,7,41,0.512,21,0.688,11,"January 8, 2020",21.7,5,14.6,6,110.9,78.6,22,0.472,53,0.434,23,0.434,23,0.87,20,6,200,109.4,31.0,9,16,70,,4.7,3,0.283,15,0.267,4,54.4,31,0.548,10.0,7,38,0.5,19,0.6,9,"Kohl Center, Madison, Wisconsin",WISCONSIN,Wisconsin,63.5,Away,ILLINOIS,Illinois,Illinois,big-ten
2020-01-11-12-illinois,40.0,8,6.1,3,83.1,69.8,30,0.407,59,0.339,20,0.136,8,0.375,3,4,200,78.5,24.4,10,17,51,,7.7,5,0.39,23,0.348,8,47.6,40,0.406,15.0,11,36,0.333,12,0.75,12,"January 11, 2020",38.9,7,11.1,4,78.5,75.6,31,0.302,63,0.286,18,0.302,19,0.842,16,5,200,83.1,30.2,13,12,54,,3.1,2,0.222,14,0.143,2,52.4,44,0.375,8.9,7,49,0.327,16,0.706,12,"State Farm Center, Champaign, Illinois",RUTGERS,Rutgers,64.9,Home,ILLINOIS,Illinois,Illinois,big-ten
2020-01-18-17-illinois,40.7,11,3.3,1,123.0,68.0,17,0.517,60,0.45,27,0.2,12,0.75,9,11,200,116.4,27.6,8,17,71,,4.9,3,0.317,19,0.421,8,46.3,25,0.54,7.1,5,41,0.463,19,0.353,6,"January 18, 2020",63.0,17,12.2,5,116.4,72.4,21,0.583,54,0.5,27,0.278,15,0.8,12,5,200,123.0,32.0,8,11,75,24,3.3,2,0.444,24,0.375,9,53.7,29,0.613,10.4,7,30,0.6,18,0.722,13,"State Farm Center, Champaign, Illinois",NORTHWESTERN,Northwestern,61.4,Home,ILLINOIS,Illinois,Illinois,big-ten
2020-01-21-19-purdue,66.7,18,6.3,3,100.0,71.4,25,0.622,49,0.551,27,0.388,19,0.947,18,5,200,127.4,52.9,9,17,79,21,1.6,1,0.327,16,0.438,7,65.4,34,0.681,18.5,13,33,0.606,20,0.737,14,"January 21, 2020",34.8,8,9.1,3,127.4,47.1,8,0.438,56,0.411,23,0.375,21,0.619,13,9,200,100.0,28.6,10,18,62,,9.7,6,0.143,8,0.375,3,34.6,18,0.47,7.1,5,48,0.417,20,0.526,10,"Mackey Arena, West Lafayette, Indiana",PURDUE,Purdue,61.5,Away,ILLINOIS,Illinois,Illinois,big-ten
2020-01-25-12-michigan,25.0,6,0.0,0,98.4,71.4,25,0.481,54,0.444,24,0.296,16,0.75,12,5,200,101.6,13.3,4,19,64,21,1.6,1,0.204,11,0.364,4,44.6,29,0.519,11.6,8,43,0.465,20,0.75,15,"January 25, 2020",21.7,5,7.0,3,101.6,86.7,26,0.424,59,0.39,23,0.356,21,0.571,12,8,200,98.4,28.6,10,14,62,,4.8,3,0.288,17,0.235,4,55.4,36,0.449,2.8,2,42,0.452,19,0.579,11,"Crisler Arena, Ann Arbor, Michigan",MICHIGAN,Michigan,63.3,Away,ILLINOIS,Illinois,Illinois,big-ten
2020-01-30-19-illinois,21.1,4,12.5,6,84.3,71.1,27,0.342,60,0.317,19,0.2,12,0.833,10,10,200,72.9,14.3,5,16,51,,4.3,3,0.317,19,0.158,3,43.8,32,0.388,14.4,11,41,0.39,16,0.524,11,"January 30, 2020",47.6,10,12.2,5,72.9,85.7,30,0.357,63,0.333,21,0.254,16,0.875,14,5,200,84.3,28.9,11,17,59,19,5.7,4,0.238,15,0.2,3,56.2,41,0.418,10.3,8,48,0.375,18,0.762,16,"State Farm Center, Champaign, Illinois",MINNESOTA,Minnesota,69.7,Home,ILLINOIS,Illinois,Illinois,big-ten
2020-02-02-13-iowa,50.0,12,0.0,0,114.3,70.4,19,0.483,58,0.414,24,0.19,11,0.818,9,6,200,103.2,37.1,13,19,65,19,9.5,6,0.379,22,0.364,8,51.6,32,0.514,17.1,13,36,0.444,16,0.727,16,"February 2, 2020",76.0,19,8.3,3,103.2,62.9,22,0.6,50,0.5,25,0.34,17,0.706,12,6,200,114.3,29.6,8,15,72,18,11.1,7,0.46,23,0.435,10,48.4,30,0.62,18.4,13,27,0.556,15,0.727,16,"Carver-Hawkeye Arena, Iowa City, Iowa",ILLINOIS,Illinois,63.2,Home,IOWA,Iowa,Illinois,big-ten
2020-02-07-20-illinois,61.5,16,5.1,2,95.7,64.1,25,0.554,56,0.464,26,0.268,15,0.867,13,4,200,108.7,13.8,4,16,75,9,8.7,6,0.464,26,0.385,10,42.6,29,0.594,13.8,10,30,0.533,16,0.826,19,"February 7, 2020",50.0,11,3.3,1,108.7,86.2,25,0.426,61,0.361,22,0.393,24,0.583,14,7,200,95.7,35.9,14,17,66,20,5.8,4,0.361,22,0.364,8,57.4,39,0.456,13.3,11,39,0.359,14,0.696,16,"State Farm Center, Champaign, Illinois",ILLINOIS,Illinois,69.3,Away,MARYLAND,Maryland,Illinois,big-ten
2020-02-11-21-illinois,35.7,10,7.1,3,94.5,64.9,24,0.553,57,0.491,28,0.246,14,0.5,7,8,200,95.9,17.9,5,24,70,,9.6,7,0.316,18,0.389,7,44.6,29,0.55,20.2,16,39,0.538,21,0.68,17,"February 11, 2020",40.9,9,2.6,1,95.9,82.1,23,0.408,60,0.367,22,0.417,25,0.8,20,8,200,94.5,35.1,13,16,69,22,13.7,10,0.3,18,0.278,5,55.4,36,0.48,15.5,13,42,0.405,17,0.667,16,"State Farm Center, Champaign, Illinois",ILLINOIS,Illinois,73.3,Away,MICHIGAN-STATE,Michigan State,Illinois,big-ten
2020-02-15-16-rutgers,52.6,10,7.5,3,118.0,71.4,20,0.377,61,0.311,19,0.246,15,0.733,11,9,200,93.4,36.4,16,15,57,22,8.2,5,0.459,28,0.286,8,50.0,36,0.418,11.7,9,33,0.333,11,0.64,16,"February 15, 2020",55.6,15,27.3,9,93.4,63.6,28,0.555,55,0.491,27,0.218,12,0.917,11,8,200,118.0,28.6,8,16,72,,8.2,5,0.273,15,0.467,7,50.0,36,0.593,13.0,9,40,0.5,20,0.692,18,"Rutgers Athletic Center, New Brunswick, New Jersey",ILLINOIS,Illinois,61.4,Home,RUTGERS,Rutgers,Illinois,big-ten
2020-02-18-18-penn-state,33.3,8,7.7,3,90.3,75.7,28,0.472,54,0.444,24,0.333,18,0.611,11,9,200,100.0,28.1,9,16,62,,8.1,5,0.185,10,0.3,3,53.6,37,0.496,12.7,9,44,0.477,21,0.654,17,"February 18, 2020",61.9,13,9.1,4,100.0,71.9,23,0.397,58,0.362,21,0.224,13,0.769,10,6,200,90.3,24.3,9,16,56,9,8.1,5,0.328,19,0.211,4,46.4,32,0.436,9.9,7,39,0.436,17,0.769,20,"Bryce Jordan Center, University Park, Pennsylvania",PENN-STATE,Penn State,62.4,Away,ILLINOIS,Illinois,Illinois,big-ten
2020-02-24-20-illinois,33.3,8,3.8,2,98.6,67.4,29,0.465,57,0.421,24,0.158,9,0.667,6,20,200,81.9,15.2,5,14,59,,9.7,7,0.263,15,0.333,5,44.7,34,0.481,17.6,13,42,0.452,19,0.259,7,"February 24, 2020",46.4,13,4.8,2,81.9,84.8,28,0.43,71,0.394,28,0.239,17,0.588,10,9,200,98.6,32.6,14,10,71,,8.3,6,0.268,19,0.263,5,55.3,42,0.449,11.3,10,52,0.442,23,0.667,18,"State Farm Center, Champaign, Illinois",NEBRASKA,Nebraska,72.2,Home,ILLINOIS,Illinois,Illinois,big-ten
2020-02-27-20-northwestern,70.4,19,4.9,2,104.8,80.0,28,0.534,58,0.466,27,0.259,15,0.8,12,9,200,117.5,40.6,13,15,74,,1.6,1,0.397,23,0.348,8,61.2,41,0.568,9.8,7,35,0.543,19,0.679,19,"February 27, 2020",44.0,11,8.6,3,117.5,59.4,19,0.451,61,0.41,25,0.262,16,0.688,11,21,200,104.8,20.0,7,16,66,,4.8,3,0.328,20,0.25,5,38.8,26,0.481,6.8,5,41,0.488,20,0.222,6,"Welsh-Ryan Arena, Evanston, Illinois",NORTHWESTERN,Northwestern,62.9,Away,ILLINOIS,Illinois,Illinois,big-ten
2020-03-01-14-illinois,50.0,12,12.5,5,103.1,80.0,24,0.475,59,0.407,24,0.203,12,0.833,10,11,200,101.5,31.3,10,19,66,,6.2,4,0.271,16,0.5,8,54.8,34,0.51,13.5,10,43,0.372,16,0.621,18,"March 1, 2020",39.1,9,14.0,6,101.5,68.8,22,0.481,52,0.442,23,0.462,24,0.708,17,9,200,103.1,20.0,6,16,67,,7.7,5,0.231,12,0.333,4,45.2,28,0.528,10.1,7,40,0.475,19,0.69,20,"State Farm Center, Champaign, Illinois",INDIANA,Indiana,64.6,Home,ILLINOIS,Illinois,Illinois,big-ten
2020-03-05-19-ohio-state,41.7,10,9.5,4,107.6,60.0,21,0.491,55,0.436,24,0.182,10,0.9,9,10,200,95.5,25.0,7,22,63,23,9.1,6,0.4,22,0.273,6,44.4,28,0.527,16.8,12,33,0.545,18,0.667,20,"March 5, 2020",50.0,11,6.1,2,95.5,75.0,21,0.412,57,0.386,22,0.491,28,0.857,24,9,200,107.6,40.0,14,13,71,19,13.6,9,0.263,15,0.2,3,55.6,35,0.505,13.7,11,42,0.452,19,0.7,21,"Value City Arena, Columbus, Ohio",ILLINOIS,Illinois,66.0,Home,OHIO-STATE,Ohio State,Illinois,big-ten
2020-03-08-19-illinois,69.2,18,5.4,2,121.9,69.4,25,0.587,52,0.5,26,0.288,15,1.0,15,11,200,118.8,23.8,5,18,76,18,0.0,0,0.365,19,0.474,9,52.6,30,0.643,15.8,11,33,0.515,17,0.645,20,"March 8, 2020",66.7,20,6.1,2,118.8,76.2,16,0.549,61,0.492,30,0.279,17,0.647,11,10,200,121.9,30.6,11,19,78,23,9.4,6,0.393,24,0.292,7,47.4,27,0.565,6.8,5,37,0.622,23,0.677,21,"State Farm Center, Champaign, Illinois",IOWA,Iowa,64.1,Home,ILLINOIS,Illinois,Illinois,big-ten
